appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
376750,World War II GI,2015-11-13,1,TNT Team,Retroism;Nightdive Studios,windows;linux,0,Single-player,Action,Action;FPS;World War II,0,20,17,0,0,20000-50000,4.99
476650,The Silver Case,2016-10-06,1,GRASSHOPPER MANUFACTURE INC.;AGM PLAYISM,GRASSHOPPER MANUFACTURE INC.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure,Visual Novel;Mystery;Adventure,25,176,26,0,0,20000-50000,14.99
453100,Frederic: Resurrection of Music Director's Cut,2016-04-21,1,Forever Entertainment S. A.,Forever Entertainment S. A.,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie,Indie;Action;Casual,25,197,41,290,323,50000-100000,4.79
244710,Shelter,2013-08-28,1,Might and Delight,Might and Delight,windows;mac,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Indie;Adventure;Cute,0,2774,479,77,87,200000-500000,6.99
607890,Sword Art Online: Hollow Realization Deluxe Edition,2017-10-27,1,AQURIA,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Casual;RPG,Anime;RPG;Multiplayer,53,2860,707,605,941,100000-200000,39.99
402390,Hyperdrive Massacre,2015-10-12,1,34BigThings srl,34BigThings srl;Digital Tribe,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Casual;Indie,Action;Indie;Local Multiplayer,34,106,88,203,248,500000-1000000,6.99
251430,The Inner World,2013-09-27,1,Studio Fizbin,Headup,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Indie,23,570,51,0,0,100000-200000,11.99
927250,Bladed Fury,2018-12-17,1,NEXT Studios,NEXT Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie;RPG,Action;Female Protagonist;Indie,24,1225,228,0,0,100000-200000,7.19
470600,Video blogger Story,2016-06-13,1,5Wolf,5Wolf,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Simulation;Early Access,Early Access;Simulation;Story Rich,10,401,256,275,275,100000-200000,3.19
382490,Relic Hunters Zero,2015-08-18,1,Rogue Snail,Rogue Snail,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Free to Play;Indie,Free to Play;Pixel Graphics;Action,44,5715,352,147,141,500000-1000000,0.0
497860,Zezenia Online,2016-07-07,1,rojekti;Saucer Software,rojekti,windows,0,Multi-player;Online Multi-Player;MMO,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,0,145,62,9,9,50000-100000,0.0
931500,Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,2018-10-25,1,AQUASTYLE,AQUASTYLE,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Indie;RPG,RPG;Adventure;Indie,45,703,31,475,475,20000-50000,29.99
461680,FPV Air Tracks,2016-05-23,1,Flyleap Studios,Flyleap Studios,windows,0,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Free to Play;Indie;Racing;Simulation,Racing;Free to Play;Simulation,0,51,100,0,0,20000-50000,0.0
686180,Cat Girl,2017-08-28,1,夢かき屋,Paradise Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie,Sexual Content;Nudity;Adventure,0,235,160,0,0,50000-100000,0.79
606330,Shadows 2: Perfidia,2017-03-24,1,MrCiastku,IceTorch Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Action;Adventure;Casual;Indie,Adventure;Indie;Action,7,139,39,256,274,50000-100000,7.19
342260,Nevermind,2015-09-29,1,Flying Mollusk,Flying Mollusk,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Psychological Horror,17,241,82,0,0,50000-100000,15.49
605510,Rigor Mortis,2017-03-28,1,BEta - indie,Atriagames,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual,17,33,19,502,526,20000-50000,1.99
251990,Long Live The Queen,2013-11-08,1,Hanako Games,Hanako Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;RPG;Simulation;Strategy,Visual Novel;Anime;Female Protagonist,45,5656,305,350,397,200000-500000,6.99
304350,Wildlife Park 2,2014-07-17,1,b-alive gmbh,b-alive gmbh,windows,0,Single-player;Steam Trading Cards,Casual;Indie;Simulation;Strategy,Simulation;Strategy;Casual,0,247,114,0,0,100000-200000,4.99
301700,Numba Deluxe,2014-05-23,1,Cobra Mobile,KISS ltd,windows,0,Single-player,Casual,Casual;Puzzle,0,146,82,1,1,200000-500000,1.99
316890,Calvino Noir,2015-08-27,1,Calvino Noir Limited,Calvino Noir Limited,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie,Adventure;Indie;Stealth,40,213,118,0,0,20000-50000,4.99
307690,Sleeping Dogs: Definitive Edition,2014-10-08,1,United Front Games;Feral Interactive (Mac),SQUARE ENIX;Feral Interactive (Mac),windows;mac,18,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Racing,Open World;Action;Martial Arts,59,15529,1904,636,602,1000000-2000000,19.99
522200,Loading Human: Chapter 1,2016-10-14,1,Untold Games,Maximum Games,windows,0,Single-player;Full controller support,Adventure,Adventure;VR,16,11,23,0,0,20000-50000,29.99
351410,Clean'Em Up,2016-08-18,1,Amidos;Big O;Bauer,Amidos,windows,0,Single-player,Action;Free to Play;Indie,Free to Play;Indie;Action,0,42,2,0,0,20000-50000,0.0
933300,御俠客 Wuxia Master,2018-09-29,0,甲山林娛樂股份有限公司,甲山林娛樂股份有限公司,windows,0,Single-player;Steam Achievements;Steam Cloud,RPG,RPG,27,216,179,0,0,20000-50000,8.02
534960,Measurement Problem,2016-09-27,1,Alchemist Studio,Alchemist Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Adventure;Indie,Adventure;Indie;Narration,5,44,17,0,0,20000-50000,6.99
340800,Unhack,2015-01-09,1,InvertMouse,InvertMouse,windows;mac;linux,0,Single-player;Steam Trading Cards,Indie,Indie;Anime;Puzzle,0,219,35,0,0,20000-50000,2.79
341860,SickBrick,2015-01-30,1,Maxwolf;Fox,Maxwolf;Fox,windows;mac;linux,0,Single-player;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,0,120,91,0,0,50000-100000,14.99
838380,DEAD OR ALIVE 6,2019-02-28,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud;Steam Leaderboards,Action,Fighting;Action;Sexual Content,36,1454,836,57,57,20000-50000,54.99
569840,FBI MANIA,2017-01-31,1,Arctic Bird Studio,Arctic Bird Studio,windows,0,Single-player;Steam Trading Cards,Action;Casual;Indie,Casual;Indie;Action,0,39,25,259,285,100000-200000,0.79
712790,Crimson Memories,2017-10-02,1,MagicHouse,Paradise Project,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie,Casual;Adventure;Indie,10,51,21,0,0,20000-50000,1.69
271860,Super Killer Hornet: Resurrection,2014-02-05,1,Flump Studios,KISS ltd,windows,0,Single-player;Steam Trading Cards,Indie,Indie;Shoot 'Em Up;Bullet Hell,0,508,278,222,260,200000-500000,3.99
358200,Math Rescue,2014-05-05,1,Redwood Games,3D Realms (Apogee Software),windows;mac,0,Single-player;Partial Controller Support,Adventure,Adventure;Education;Platformer,0,29,8,0,0,50000-100000,3.99
331580,ULTRAWORLD EXODUS,2014-12-04,1,Neon Serpent LLC,Neon Serpent LLC,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Free to Play;Indie,Indie;Free to Play;Exploration,0,39,16,0,0,20000-50000,0.0
366320,Seasons after Fall,2016-09-02,1,Swing Swing Submarine,Focus Home Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,21,1411,317,361,714,200000-500000,11.99
404590,Vikings - Wolves of Midgard,2017-03-24,1,Games Farm,Kalypso Media Digital,windows;mac;linux,18,Single-player;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Nudity;Violent;Gore;Action;RPG,RPG;Hack and Slash;Action,39,1580,1172,230,230,100000-200000,22.99
215470,Primal Carnage,2012-10-29,1,Lukewarm Media,Reverb Triple XP;Circle 5,windows,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled,Action;Indie,Dinosaurs;Multiplayer;Action,69,4447,1323,423,470,200000-500000,5.59
216150,MapleStory,2012-08-09,1,Nexon,Nexon America Inc.,windows,0,Single-player;Multi-player;MMO;Co-op;Steam Trading Cards,Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG,0,3629,1711,71,106,1000000-2000000,0.0
528160,Solstice Chronicles: MIA,2017-07-26,1,Ironward,Nkidu Games Inc.,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;RPG,Action;Indie;RPG,21,194,66,0,0,20000-50000,14.99
364050,Face It - A game to fight inner demons,2017-06-09,1,Tlön Studios;Ilex Games,Gamestorming,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,16,907,251,430,468,100000-200000,2.79
362660,Blue Rose,2015-04-23,1,White Cat,White Cat,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;Simulation,Adventure;Indie;Visual Novel,19,82,42,726,726,20000-50000,12.39
252170,Anomaly Warzone Earth Mobile Campaign,2013-11-06,1,11 bit studios,11 bit studios,windows;mac;linux,0,Single-player;Steam Trading Cards,Action;Strategy,Strategy;Action;Tower Defense,39,262,63,152,152,100000-200000,3.99
404690,This Book Is A Dungeon,2015-10-09,1,Nathan Meunier,Black Shell Media,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Interactive Fiction,0,138,47,0,0,20000-50000,3.99
911400,Assassin's Creed® III Remastered,2019-03-29,1,Ubisoft Entertainment,Ubisoft Entertainment				,windows,0,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Assassin,0,475,983,80,80,50000-100000,33.99
207430,"Hack, Slash, Loot",2012-04-05,1,David Williamson,David Williamson,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;RPG,Rogue-like;Indie;RPG,17,337,332,133,139,100000-200000,4.99
503420,NEO-NOW!,2017-08-24,1,ma_mutte,ma_mutte,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG;Strategy,Action;Strategy;Adventure,8,8,14,279,286,20000-50000,0.79
326960,Killing Floor - Toy Master,2014-10-16,1,David Hensley;Alex Quick,Tripwire Interactive,windows;mac;linux,0,Single-player;Co-op,Action,Free to Play;Horror;Multiplayer,0,21,2,1,1,500000-1000000,0.0
323320,Grow Home,2015-02-04,1,"Reflections, a Ubisoft Studio",Ubisoft,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Open World;Adventure;Singleplayer,26,3855,382,142,162,200000-500000,6.69
46760,Ironclads: Schleswig War 1864,2011-06-21,1,Totem Games,Strategy First,windows,0,Single-player,Strategy,Strategy;Naval,0,6,13,0,0,20000-50000,34.95
521470,Magical Otoge Ciel,2016-08-26,1,batensan,batensan,windows;mac;linux,0,Single-player,Casual;Free to Play;Indie;Simulation,Free to Play;Visual Novel;Indie,0,163,14,0,0,50000-100000,0.0
386420,Job the Leprechaun,2015-07-31,1,Herrero Games,Herrero Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie,Indie;Casual;Platformer,3,130,30,34,34,20000-50000,2.09
235460,METAL GEAR RISING: REVENGEANCE,2014-01-09,1,PlatinumGames,Konami Digital Entertainment,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action,Great Soundtrack;Action;Hack and Slash,60,13722,1157,863,870,500000-1000000,19.99
508960,SizeBlock,2016-09-02,1,Egor Magurin,Atriagames,windows,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual;Puzzle,0,72,42,478,484,50000-100000,1.59
952860,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),2018-11-14,0,Heluo Studio,香港商河洛互動娛樂股份有限公司;方块游戏,windows,0,Single-player;Steam Achievements;Steam Cloud,RPG;Simulation,RPG;Simulation;Open World,71,851,593,0,0,20000-50000,13.5
257850,Hyper Light Drifter,2016-03-31,1,Heart Machine,Heart Machine,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG,Pixel Graphics;Great Soundtrack;Atmospheric,23,11027,721,275,354,500000-1000000,14.99
849940,Freefall Tournament,2018-06-15,1,y8.com,y8.com,windows;mac,0,Multi-player;Online Multi-Player;In-App Purchases,Action,Action;PvP;Team-Based,0,22,13,0,0,20000-50000,3.99
772160,4 for the Money Demo,2018-01-17,1,Lost Marble,Lost Marble,windows,0,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support,Action;Free to Play;Indie,Free to Play;Indie;Action,0,42,3,0,0,20000-50000,0.0
355060,Sébastien Loeb Rally EVO,2016-01-29,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Racing;Simulation;Sports,Racing;Simulation;Sports,25,272,269,0,0,20000-50000,14.99
